response	trial_index	task	participantID	age	gender	language	amE	comments	expression	cc	context
0.79	1	practice	295	34	male	English	AmE	"""":""""""""}	practice	noCC	other
0	3	practice	295	34	male	English	AmE	"""":""""""""}	practice	noCC	other
1	5	practice	295	34	male	English	AmE	"""":""""""""}	practice	noCC	other
0.01	7	practice	295	34	male	English	AmE	"""":""""""""}	practice	noCC	other
0.21	10	target	295	34	male	English	AmE	"""":""""""""}	admit	Owen shoveled snow last winter	explicitIgnorance
0.24	11	target	295	34	male	English	AmE	"""":""""""""}	confess	Jayden rented a car	explicitIgnorance
0.71	12	target	295	34	male	English	AmE	"""":""""""""}	confirm	Charley speaks Spanish	factH
1	13	target	295	34	male	English	AmE	"""":""""""""}	controlGood4	noCC	other
0.4	14	target	295	34	male	English	AmE	"""":""""""""}	announce	Jackson ran 10 miles	explicitIgnorance
0.5	15	target	295	34	male	English	AmE	"""":""""""""}	see	Isabella ate a steak on Sunday	explicitIgnorance
0.39	16	target	295	34	male	English	AmE	"""":""""""""}	controlGood3	noCC	other
0.1	17	target	295	34	male	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance
0.59	18	target	295	34	male	English	AmE	"""":""""""""}	discover	Jon walks to work	explicitIgnorance
0.5	19	target	295	34	male	English	AmE	"""":""""""""}	think	Zoe calculated the tip	factH
0.49	20	target	295	34	male	English	AmE	"""":""""""""}	acknowledge	Emily bought a car yesterday	factH
0.23	21	target	295	34	male	English	AmE	"""":""""""""}	prove	Sophia got a tattoo	factL
0.16	22	target	295	34	male	English	AmE	"""":""""""""}	know	Olivia sleeps until noon	factL
0.7	23	target	295	34	male	English	AmE	"""":""""""""}	hear	Julian dances salsa	explicitIgnorance
1	24	target	295	34	male	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance
0	25	target	295	34	male	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
0	26	target	295	34	male	English	AmE	"""":""""""""}	be annoyed	Josh learned to ride a bike yesterday	explicitIgnorance
1	27	target	295	34	male	English	AmE	"""":""""""""}	say	Mia drank 2 cocktails last night	explicitIgnorance
0	28	target	295	34	male	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
0	29	target	295	34	male	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance
0.42	30	target	295	34	male	English	AmE	"""":""""""""}	demonstrate	Danny ate the last cupcake	explicitIgnorance
0.75	31	target	295	34	male	English	AmE	"""":""""""""}	be right	Josie went on vacation to France	explicitIgnorance
0.57	32	target	295	34	male	English	AmE	"""":""""""""}	establish	Grace visited her sister	explicitIgnorance
0.68	33	target	295	34	male	English	AmE	"""":""""""""}	inform	Frank got a cat	factL
0	34	target	295	34	male	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance
