workerid,proliferate.condition,age,american,comments,gender,language,error
2186,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,
2018,default,38,Yes,,Female,English,
2026,default,25,Yes,,Female,English,
2021,default,56,Yes,,Female,English,
2243,default,25,Yes,,Female,English,
2047,default,21,Yes,,Male,English,
2082,default,24,Yes,I wasn't sure exactly what it meant when it asked if a sentence sounded good? I based it on if the sentence answered the question.,Female,English,
2187,default,24,Yes,,Female,English,
2254,default,26,Yes,Study was fun all the way.,Male,English,
2175,default,57,Yes,It was interesting how I felt about certain responses to certain statements. ,Female,English,
2006,default,21,Yes,"Very confused about the second part of the survey and what qualifies as a ""good"" response. ",Female,English,
2045,default,34,Yes,"I have no comment for now, when i do, I'll reach out",Male,English,
2131,default,20,Yes,,Male,English,
2079,default,26,Yes,the second half of the survey was a bit confusing.,Female,English,
2248,default,37,Yes,Nothing to add. ,Male,English,
2237,default,29,Yes,,Male,English,
2204,default,31,Yes,No comments ,Male,Englis,
2072,default,29,Yes,,Male,English,
2007,default,21,Yes,N/A,Female,English,
2024,default,28,Yes,,Female,english,
2070,default,31,Yes,,Female,English,
2244,default,33,Yes,,Male,English,
2055,default,29,Yes,,Male,English,
2221,default,41,Yes,,Male,English,
2017,default,46,Yes,,Female,English,
2251,default,32,Yes,,Male,English,
2166,default,28,Yes,"It was well functioning, I'm unsure of the purpose but it was nicely made.",Male,english,
2041,default,35,Yes,,Male,English,
2127,default,29,Yes,,Female,English,
2117,default,28,Yes,,Female,Hmong,
2146,default,23,Yes,None,Female,English,
2208,default,53,Yes,,Female,English,
2250,default,35,Yes,,Female,English,
2137,default,27,,,Male,Spanish,
2067,default,24,Yes,,Female,English,
2179,default,37,Yes,,Female,English,
2168,default,42,Yes,,Male,english,
2036,default,31,Yes,"The instructions kind of confused me, so for the first half of the experiment (probably a bit more) I used my opinion on the tone, such as, ""Does this sound good?"" Made me think, ""Does this sound clunky or rude?"" 
So I probably got all those wrong. I realized my mistake when I got to the one where they said Charley spoke spanish was true, when it was clearly not. Sorry.",Female,English,
2048,default,41,Yes,,Male,English,
2172,default,25,Yes,,Female,English,
2199,default,28,Yes,Thanks!,Male,English,
2145,default,24,Yes,,Male,English,
2044,default,27,Yes,,Female,English,
2228,default,31,Yes,i have none,Female,english,
2014,default,28,Yes,n/a,Male,English,
2095,default,22,Yes,,Male,English,
2032,default,32,Yes,the study was very interesting,Male,English,
2132,default,20,Yes,,Female,English,
2134,default,34,Yes,Felt like I was making the wrong choice so many times because of how different it felt reading them in my head with different inflections.,Female,English,
2111,default,18,No,,Female,English ,
2092,default,22,Yes,Second part was a bit confusing because the although the replies were awkward they made sense but they still didn't sound good.,Female,English ,
2084,default,20,Yes,,Female,English,
2165,default,24,Yes,,Female,English,
2104,default,65,Yes,,Male,English,
2178,default,31,Yes,,Female,ENGLISH,
2223,default,23,Yes,,Male,english,
2139,default,29,Yes,,Male,English,
2119,default,27,Yes,,Male,English,
2086,default,20,Yes,I really struggled with the first part,Female,English,
2091,default,24,Yes,No comments.,Female,English,
2235,default,34,Yes,"While the study was interesting, the wording got confusing from time to time. Reading each phrase/phrase pair multiple times usually helps but it didn't work for every question. Still a fascinating study.",Female,English,
2065,default,45,Yes,,Male,english,
2163,default,58,Yes,"It was interesting and unique, good luck with your research!",Male,English,
2060,default,24,Yes,Interesting experiment.,Female,English,
2150,default,20,Yes,,Female,English,
2013,default,22,Yes,,Male,English ,
2016,default,27,Yes,,Female,English,
1994,default,19,Yes,,Male,English,
2218,default,29,Yes,,Female,english,
2107,default,28,Yes,,Female,English,
2143,default,48,Yes,"Thank you. I am officially tired of the word ""perhaps"" now!",Female,English,
2245,default,22,Yes,,Male,English,
2071,default,25,Yes,The word perhaps makes me think that the person wasnt certain in some cases. ,Female,English,
2171,default,,Yes,None.,Male,English,
2000,default,43,Yes,n/a,Female,English,
2038,default,19,Yes,,Female,English,
2144,default,26,Yes,,Female,English,
2181,default,32,Yes,,Male,English,
2003,default,35,Yes,,Female,English,
2118,default,24,Yes,,Female,English,
2099,default,34,Yes,,Male,English,
2211,default,28,Yes,,Female,English,
2206,default,74,Yes,,Female,English,
2030,default,32,Yes,Kind of interesting,Male,English,
2012,default,20,Yes,"IT WAS A BIT DIFFICULT TO DECIDE WHAT THE QUESTION MEANT BY ""SOUNDS GOOD"" SO I JUST RATED IT BASED ON HOW NATURAL THE RESPONSE SOUNDED",Other,eNGLISH,
2061,default,25,Yes,N/a,Male,English,
2205,default,48,Yes,,Male,English,
2028,default,55,Yes,,Male,English,
2210,default,32,Yes,,Male,English,
2231,default,58,Yes,,Female,English,
2258,default,30,Yes,,Male,English ,
2074,default,44,Yes,none,Female,English,
2037,default,25,Yes,,Male,English,
2216,default,39,Yes,none,Female,english,
2233,default,31,Yes,,Female,English,
2100,default,31,Yes,This was an interesting way to think about certainty. ,Female,English,
2154,default,20,Yes,,Female,english,
2188,default,42,Yes,,Male,English,
2247,default,28,Yes,,Female,English,
2066,default,44,Yes,,Female,English,
2004,default,25,Yes,,Female,English,
2049,default,27,Yes,"This study was a bit interesting but also confusing. I don't know if I misinterpreted the statements, but for the most part nearly all of the responses sounded ""off"" to me. The responses were written/spoken as if by someone who didn't have a full grasp of conversational American English. For the majority of the study, all I could think of was ""Who would say that? Nobody really responds like that"".",Female,English,
2242,default,60,Yes,None,Male,English,
2098,default,25,Yes,,Male,English,
2182,default,30,Yes,,Male,ENGLISH,
2023,default,26,Yes,,Other,English,
2162,default,32,Yes,,Female,English,
2029,default,30,Yes,No,Male,English,
2230,default,30,Yes,,Female,"English, Greek",
2008,default,23,Yes,,Male,English,
