workerid,proliferate.condition,age,american,comments,gender,language,error
2920,default,19,Yes,,Female,English,
3051,default,24,Yes,,Female,english,
3020,default,23,Yes,,Female,English,
2848,default,18,Yes,,Male,English ,
2852,default,20,Yes,,Female,English,
2999,default,39,Yes,Thanks,Male,English,
2879,default,25,Yes,,Female,English,
2912,default,22,Yes,,Female,English,
2878,default,23,Yes,It was confusing,Female,English,
2943,default,26,Yes,,Female,English,
2845,default,24,Yes,,Female,English,
3011,default,28,Yes,,Female,English,
2945,default,54,Yes,Even the statements that were more certain than the others were unclear in their responses and not great sounding,Female,English,
2897,default,50,No,,Female,English,
3017,default,26,Yes,,Female,English,
2796,default,19,Yes,,Female,english ,
2915,default,22,Yes,,Female,English ,
2948,default,22,Yes,,Female,English,
2919,default,19,Yes,Kinda confusing sentences. ,Female,English,
3023,default,23,Yes,,Female,English,
2995,default,20,Yes,,Female,English,
2911,default,24,Yes,,Female,English,
2989,default,24,Yes,,Female,English,
2979,default,19,Yes,the wording of the sentences are kind of confusing but other than that it went well,Male,english,
2946,default,50,Yes,none,Male,english,
3036,default,63,Yes,,Female,English,
2884,default,20,Yes,,Female,English,
3033,default,23,Yes,,Female,English,
2966,default,20,Yes,,Male,English,
2954,default,23,Yes,,Female,English,
2826,default,21,Yes,"I found it difficult to tell what was being asked in the first part. I answered no/no-leaning because those seem like strange responses. It almost seemed as if the second person was denying the statement of the first in a manner similar to gaslighting. Otherwise, it seems like a weird way to respond to something. Maybe that was the point, but I found it confusing. ",Female,English,
2841,default,19,Yes,,Male,English,
2923,default,43,Yes,"Excellent, Thank you.",Male,English,
2935,default,25,Yes,,Male,English,
2987,default,19,Yes,,Female,english,
2892,default,27,Yes,,Female,english,
3014,default,24,Yes,,Female,English,
2872,default,24,Yes,,Female,Enlgish,
2860,default,20,Yes,,Female,English,
2844,default,41,Yes,,Female,english,
2842,default,21,Yes,,Female,English,
2899,default,21,Yes,,Male,English,
2880,default,18,Yes,,Female,English,
3040,default,23,Yes,,Female,English,
3016,default,21,Yes,,Female,English,
2931,default,23,Yes,,Male,English,
2799,default,32,Yes,,Female,English,
3053,default,23,Yes,,Female,English,
2869,default,31,Yes,No thank you.,Female,English,
2858,default,30,Yes,,Female,english,
3047,default,22,Yes,,Female,English,
