workerid,proliferate.condition,age,american,comments,gender,language,error
129,default,24,Yes,,Female,English,
207,default,25,Yes,N/A,Male,English,
353,default,47,Yes,,Female,english,
273,default,22,Yes,The second half was much more difficult since there was a lack of context to the rest of the conversation. I reread the conversations in my head and for some it sounded as though the statements were true when there was a lack of context.,Male,English,
48,default,23,Yes,,Male,English,
197,default,28,Yes,,Female,english,
193,default,29,Yes,It is an awesome study,Male,English,
143,default,43,Yes,,Female,English,
263,default,21,Yes,,Male,english,
93,default,22,Yes,,Female,English,
133,default,24,Yes,,Male,English,
151,default,39,Yes,I enjoyed the study. Nice!,Male,English,
177,default,64,Yes,,Male,English,
365,default,34,Yes,,Male,English,
87,default,32,Yes,,Male,english,
345,default,27,Yes,,Male,English,
274,default,30,Yes,,Female,English,
262,default,34,Yes,,Female,English,
272,default,19,Yes,Sometimes the question was phrased a bit weirdly but it was ok to figure out,Female,English,
355,default,23,Yes,,Female,English,
253,default,29,Yes,,Female,English,
305,default,32,Yes,,Male,english,
118,default,25,Yes,,Male,English,
198,default,20,Yes,,Female,English,
336,default,20,Yes,,Male,English,
346,default,31,Yes,,Female,English,
75,default,37,Yes,Everything was great.,Male,English,
340,default,43,Yes,,Male,English,
342,default,22,Yes,,Male,English,
90,default,22,Yes,,Female,English,
357,default,27,Yes,,Female,English,
173,default,54,Yes,The experiment was relatively strait forward and easy to do. ,Male,English,
68,default,39,Yes,,Female,English,
82,default,20,Yes,,Female,English,
171,default,21,Yes,,Male,English,
127,default,19,Yes,,Female,english,
172,default,30,Yes,,Female,English,
167,default,28,Yes,"there were two questions that the initial statement and answer to the question make the speaker contradict themselves (the one about the pretending to get a cat and the one with Michelle and Mandy), which made the question hard to answer.",Female,English,
257,default,19,Yes,,Female,English,
128,default,39,Yes,I am an ESL teacher. I'd be curious to see if language teachers answer in similar ways.,Female,English,
200,default,44,Yes,,Female,English,
55,default,34,Yes,,Male,English,
255,default,35,Yes,,Female,English,
109,default,30,Yes,,Female,English,
283,default,34,Yes,Thanks! Merci! Gracias! Cead mile buiochas! ,Male,English,
317,default,19,Yes,,Male,english,
219,default,55,Yes,none,Female,English,
103,default,31,Yes,,Female,english,
270,default,30,Yes,,Male,English,
