workerid,proliferate.condition,age,american,comments,gender,language,error
1833,default,29,Yes,,Female,english,
1895,default,50,Yes,,Female,English,
1966,default,28,Yes,,Male,English,
1973,default,31,Yes,,Male,,
1817,default,67,Yes,interesting,Female,english,
1984,default,24,Yes,none,Female,english,
1771,default,20,Yes,,Female,"English, Chinese",
1864,default,26,Yes,,Male,English,
1931,default,34,Yes,No comments.,Male,English,
1782,default,26,Yes,,Female,English ,
1727,default,30,Yes,,Female,English,
1752,default,35,Yes,,Male,English,
1845,default,28,Yes,,Female,English,
1988,default,28,Yes,no comments,Female,English,
1841,default,28,Yes,,Female,English,
1799,default,18,Yes,,Male,English,
1823,default,32,Yes,,Female,English,
1921,default,26,Yes,,Female,ENGLISH,
1877,default,22,Yes,,Female,English,
1725,default,20,Yes,,Female,English,
1786,default,35,,,Female,English,
1962,default,24,Yes,,Female,English,
1857,default,38,Yes,,Male,English,
1965,default,30,Yes,"I have no comment , but the study is a very interesting one ",Male,English,
1860,default,25,Yes,"I had a suspicion that this study was about presuppositions, and that's how I took the study. Some of the sentences were tricky (maybe on purpose?). I don't know if not announcing that X could means that X is false. In general the first half of judging the licitness of the response ""yeah that's true..."" felt awkward all around. I think that tripped me up sometimes",Female,English,
1975,default,53,Yes,nice study,Male,english,
1738,default,22,Yes,,Male,English,
1835,default,55,Yes,,Male,English,
1837,default,25,Yes,,Female,English,
1785,default,28,Yes,"It was confusing to determine what they were implying in their sentences, even as a native speaker. Seems like that was the point of the study.",Female,"English, Nigerian Pigeon English",
1729,default,28,Yes,,Female,English,
1945,default,33,Yes,,Female,English,
1869,default,18,Yes,no,Female,English,
1950,default,58,Yes,,Female,English,
1777,default,18,Yes,,Female,English,
1770,default,40,Yes,A lot of these statements were painful to read. ,Male,English,
1773,default,28,Yes,,Male,English,
1801,default,31,Yes,,Male,English,
1867,default,18,Yes,,Female,English,
1743,default,18,Yes,,Female,English,
1935,default,38,Yes,,Male,English,
1868,default,47,Yes,N/A,Female,english,
1874,default,31,Yes,,Female,English,
1875,default,55,Yes,,Female,English,
1813,default,33,Yes,,Male,English,
1937,default,30,Yes,,Female,English ,
1880,default,23,Yes,,Female,English,
1844,default,27,Yes,Some of the response would have been a lot better if they addressed the beginning or the middle of the sentence that was said before them rather than if the end of the sentence was true.,Male,English,
1838,default,24,Yes,N/A,Male,English,
1767,default,40,Yes,,Female,English,
1876,default,31,Yes,NA,Female,English,
1762,default,25,Yes,,Female,English,
1878,default,69,Yes,,Male,English,
1789,default,35,Yes,,Male,English,
1897,default,29,Yes,,Male,English,
1971,default,27,Yes,,Male,English,
1865,default,21,Yes,,Male,English,
1795,default,34,Yes,,Male,English,
1843,default,32,Yes,,Male,English,
1766,default,24,Yes,,Female,English,
1858,default,35,Yes,,Female,English,
1939,default,30,Yes,,Male,English,
1821,default,25,Yes,no,Male,english,
1977,default,44,No,No,Male,English,
1948,default,28,Yes,,Other,English,
1832,default,28,Yes,,Other,English,
1890,default,56,Yes,,Female,English,
1918,default,30,Yes,,Female,English,
1824,default,27,Yes,,Male,English,
1953,default,26,Yes,For some reason I found that pretty difficult even though I'm a native English speaker?? It was hard breaking down one sentence out of context. Interesting study!,Female,English,
1957,default,34,Yes,"I feel like I tend to make the assumption that if someone says, ""yes that happened"" then it probably happened even if it makes no sense in response to the previous statement. I tried to take that into account when I answered. ",Female,English,
1951,default,33,Yes,None,Female,English,
1982,default,38,Yes,Interesting!,Female,English,
1970,default,35,Yes,,Male,English,
1914,default,25,Yes,I'm not sure how I did on this; I felt like the majority of them could go multiple ways. Certainly made me think :),Male,English,
1978,default,25,Yes,,Male,English,
1826,default,33,Yes,This experiment is very nice.,Male,English,
1955,default,19,Yes,,Female,"chinese, english",
1779,default,32,Yes,,Female,English,
1760,default,42,Yes,,Male,English,
1827,default,25,Yes,,Male,English,
1854,default,34,Yes,,Male,English,
1912,default,58,Yes,nice survey,Male,English,
1781,default,41,Yes,,Male,English,
1780,default,38,Yes,None,Female,English,
1960,default,21,Yes,,Female,English,
1810,default,41,Yes,,Female,English,
1794,default,25,Yes,,Male,English,
1920,default,40,Yes,"This task became increasingly difficult as the questions progressed. My brain was trying to parse the meaning and intention of the speaker in every which way, and after re-reading the sentences over and over, the words started to become meaningless agglomerations of sounds that seemed separate from human speech. But I'm having breathing difficulties today so maybe my brain is hypoxic. What might help in this task is adding avatar images, little faces to personalize the names of the speakers, that way it wouldn't just be a string of text that, after a dozen or so, becomes difficult to interpret. Just an idea. If I could imagine these bits of conversation coming out of the mouths of real people, it would help me visualize the conversation better and perhaps better attribute intention and certainty to the speaker. Thank you and good luck with your research!",Male,English,
1964,default,36,Yes,,Female,English,
1728,default,22,Yes,,Male,English,
1800,default,22,Yes,,Male,English,
