workerid,proliferate.condition,age,american,comments,gender,language,error
3228,default,25,Yes,,Female,English,
3087,default,33,Yes,,Female,English,
3263,default,28,Yes,,Female,English,
3286,default,22,Yes,,Female,English,
3085,default,19,Yes,,Female,English,
3118,default,18,Yes,,Female,English,
3251,default,29,Yes,,Female,English,
3265,default,2o,Yes,,Female,English,
3155,default,20,Yes,,Female,Spanish/English,
3317,default,24,Yes,,Female,English,
3240,default,24,Yes,,Female,English,
3222,default,22,Yes,,Female,ENGLISH,
3260,default,24,Yes,,Female,English,
3205,default,21,Yes,,Female,english,
3111,default,25,Yes,,Female,English,
3320,default,38,Yes,,Male,English,
3272,default,19,Yes,,Female,English,
3314,default,24,Yes,,Female,English,
3073,default,19,Yes,,Female,English,
3275,default,24,Yes,,Female,English,
3144,default,25,Yes,,Female,english,
3094,default,20,Yes,,Female,english,
3130,default,19,Yes,,Female,English,
3279,default,26,Yes,,Female,English,
3245,default,24,Yes,,Female,English,
3183,default,27,Yes,,Female,English,
3119,default,41,Yes,,Male,english,
3267,default,19,Yes,,Female,English,
3264,default,35,Yes,,Male,English,
3242,default,22,Yes,,Female,English,
3298,default,19,Yes,,Female,English,
3202,default,34,Yes,,Female,English,
3139,default,20,Yes,,Male,English,
3319,default,19,Yes,,Female,English,
3084,default,26,Yes,,Female,English,
3142,default,24,Yes,,Female,english,
3089,default,20,Yes,,Female,English,
3136,default,22,Yes,,Female,English,
3289,default,28,Yes,,Female,English,
3112,default,26,Yes,,Female,english,
3307,default,22,Yes,,Female,english,
3148,default,19,Yes,"The wording was very confusing, but I'm sure that was part of the experiment.",Female,English,
3201,default,22,Yes,,Female,english,
3255,default,20,Yes,,Female,English,
3143,default,22,Yes,,Female,English,
3107,default,25,Yes,,Female,English,
3082,default,35,Yes,Thank you.,Male,English,
3178,default,23,Yes,,Other,English,
3135,default,21,Yes,N/A,Other,English,
3297,default,19,Yes,,Female,english,
3203,default,22,Yes,,Female,English,
3212,default,22,Yes,,Female,English,
3191,default,25,Yes,,Female,English,
3182,default,22,Yes,,Other,English,
3204,default,21,Yes,,Female,English,
3227,default,19,Yes,n/a,Female,English,
3241,default,23,Yes,,Female,English,
